run,hop,current_x,event,event_time,raw_delta_x,used_delta_x,next_x
0,236,34451.6,coalescence_fallback,29301,,,
0,236,34451.6,hop_summary,,23.4605,23.4605,34475.1
0,237,34475.1,coalescence_fallback,106663,,,
0,237,34475.1,hop_summary,,4.35572,4.35572,34479.4
0,238,34479.4,coalescence_fallback,50686.5,,,
0,238,34479.4,hop_summary,,27.5736,27.5736,34507
0,239,34507,coalescence,35740.1,,,
0,239,34507,hop_summary,,75.8752,75.8752,34582.9
0,240,34582.9,coalescence_fallback,29658.7,,,
0,240,34582.9,hop_summary,,178.2,178.2,34761.1
0,241,34761.1,coalescence_fallback,32051.9,,,
0,241,34761.1,hop_summary,,32.806,32.806,34793.9
0,242,34793.9,coalescence,13527.9,,,
0,242,34793.9,hop_summary,,28.6815,28.6815,34822.6
0,243,34822.6,coalescence_fallback,52040.8,,,
0,243,34822.6,hop_summary,,146.547,146.547,34969.1
0,244,34969.1,coalescence,31506.9,,,
0,244,34969.1,hop_summary,,10.0795,10.0795,34979.2
0,245,34979.2,coalescence_fallback,56991.6,,,
0,245,34979.2,hop_summary,,18.7888,18.7888,34998
0,246,34998,coalescence_fallback,64004.9,,,
0,246,34998,hop_summary,,7.0578,7.0578,35005
0,247,35005,coalescence,18942.1,,,
0,247,35005,hop_summary,,0.0120492,0.0120492,35005.1
0,248,35005.1,coalescence,16113.7,,,
0,248,35005.1,hop_summary,,45.8657,45.8657,35050.9
0,249,35050.9,coalescence,35571.3,,,
0,249,35050.9,hop_summary,,0.570995,0.570995,35051.5
0,250,35051.5,coalescence_fallback,46321.2,,,
0,250,35051.5,hop_summary,,183.044,183.044,35234.5
0,251,35234.5,coalescence,14278.3,,,
0,251,35234.5,hop_summary,,104.734,104.734,35339.3
0,252,35339.3,coalescence_fallback,19910.3,,,
